Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Maldives,Saudi Arabia,Saudi Arabia,62 runs,Doha,28-Sep-23,2260
Maldives,Mongolia,Maldives,9 wickets,Hangzhou,28-Sep-23,2259
Qatar,Kuwait,Kuwait,7 wickets,Doha,28-Sep-23,2258
Malaysia,Singapore,Malaysia,73 runs,Hangzhou,28-Sep-23,2257
Cambodia,Japan,Japan,3 wickets,Hangzhou,27-Sep-23,2256
Mongolia,Nepal,Nepal,273 runs,Hangzhou,27-Sep-23,2255
Hong Kong,P.N.G.,P.N.G.,1 wicket,Kuala Lumpur,24-Sep-23,2254
Oman,U.A.E.,Oman,5 wickets,Doha,23-Sep-23,2253
Malaysia,P.N.G.,P.N.G.,4 wickets,Kuala Lumpur,23-Sep-23,2252
Kuwait,Oman,Oman,68 runs,Doha,22-Sep-23,2251
Bahrain,U.A.E.,Bahrain,3 runs,Doha,22-Sep-23,2250
Malaysia,Hong Kong,Malaysia,23 runs,Kuala Lumpur,22-Sep-23,2249
Qatar,Saudi Arabia,Qatar,7 wickets,Doha,21-Sep-23,2248
Hong Kong,P.N.G.,P.N.G.,22 runs,Kuala Lumpur,21-Sep-23,2247
Oman,Saudi Arabia,Oman,47 runs,Doha,20-Sep-23,2246
Qatar,U.A.E.,U.A.E.,60 runs,Doha,20-Sep-23,2245
Malaysia,P.N.G.,P.N.G.,45 runs,Kuala Lumpur,20-Sep-23,2244
Bahrain,Oman,Bahrain,1 run,Doha,19-Sep-23,2243
Kuwait,U.A.E.,U.A.E.,31 runs,Doha,19-Sep-23,2242
Malaysia,Hong Kong,Malaysia,102 runs,Kuala Lumpur,19-Sep-23,2241
Bahrain,Saudi Arabia,Bahrain,6 wickets,Doha,18-Sep-23,2240
Qatar,Kuwait,Qatar,1 run,Doha,18-Sep-23,2239
Saudi Arabia,U.A.E.,U.A.E.,8 wickets,Doha,17-Sep-23,2238
Qatar,Oman,Oman,19 runs,Doha,17-Sep-23,2237
Bahrain,Kuwait,Kuwait,8 wickets,Doha,16-Sep-23,2236
Oman,U.A.E.,U.A.E.,22 runs,Doha,16-Sep-23,2235
Qatar,Bahrain,Qatar,19 runs,Doha,15-Sep-23,2234
Kuwait,Saudi Arabia,Kuwait,5 wickets,Doha,15-Sep-23,2233
England,New Zealand,New Zealand,6 wickets,Nottingham,5-Sep-23,2232
England,New Zealand,New Zealand,74 runs,Birmingham,3-Sep-23,2231
South Africa,Australia,Australia,5 wickets,Durban,3-Sep-23,2230
England,New Zealand,England,95 runs,Manchester,1-Sep-23,2229
South Africa,Australia,Australia,8 wickets,Durban,1-Sep-23,2228
Rwanda,Tanzania,Tanzania,49 runs,Rwanda,31-Aug-23,2227
Rwanda,Uganda,Uganda,8 wickets,Rwanda,31-Aug-23,2226
England,New Zealand,England,7 wickets,Chester-le-Street,30-Aug-23,2225
South Africa,Australia,Australia,111 runs,Durban,30-Aug-23,2224
Rwanda,Tanzania,Tanzania,59 runs,Rwanda,30-Aug-23,2223
Tanzania,Uganda,Uganda,19 runs,Rwanda,30-Aug-23,2222
Rwanda,Uganda,Uganda,8 wickets,Rwanda,28-Aug-23,2221
Tanzania,Uganda,Uganda,59 runs,Rwanda,28-Aug-23,2220
Rwanda,Uganda,Uganda,6 wickets,Rwanda,27-Aug-23,2219
Rwanda,Tanzania,Tanzania,9 runs,Rwanda,27-Aug-23,2218
Tanzania,Uganda,Uganda,19 runs,Rwanda,25-Aug-23,2217
Rwanda,Tanzania,Tanzania,1 wicket,Rwanda,25-Aug-23,2216
Tanzania,Uganda,Uganda,60 runs,Rwanda,24-Aug-23,2215
Rwanda,Uganda,Uganda,86 runs,Rwanda,24-Aug-23,2214
Rwanda,Tanzania,Tanzania,7 wickets,Rwanda,22-Aug-23,2213
Rwanda,Uganda,Uganda,61 runs,Rwanda,22-Aug-23,2212
Tanzania,Uganda,Tanzania,3 wickets,Rwanda,21-Aug-23,2211
Rwanda,Tanzania,Rwanda,7 wickets,Rwanda,21-Aug-23,2210
Ireland,India,India,33 runs,Dublin (Malahide),20-Aug-23,2209
U.A.E.,New Zealand,New Zealand,32 runs,Dubai (DICS),20-Aug-23,2208
Tanzania,Uganda,Uganda,6 wickets,Rwanda,20-Aug-23,2207
Romania,Malta,Romania,6 runs,Ilfov County,20-Aug-23,2206
Rwanda,Uganda,Uganda,40 runs,Rwanda,20-Aug-23,2205
Romania,Malta,Romania,9 wickets,Ilfov County,20-Aug-23,2204
U.A.E.,New Zealand,U.A.E.,7 wickets,Dubai (DICS),19-Aug-23,2203
Romania,Malta,Romania,3 wickets,Ilfov County,19-Aug-23,2202
Romania,Malta,Malta,4 wickets,Ilfov County,19-Aug-23,2201
Ireland,India,India,2 runs,Dublin (Malahide),18-Aug-23,2200
Romania,Malta,Malta,8 wickets,Ilfov County,18-Aug-23,2199
U.A.E.,New Zealand,New Zealand,19 runs,Dubai (DICS),17-Aug-23,2198
Germany,Guernsey,Guernsey,10 runs,Deventer,15-Aug-23,2197
Germany,Guernsey,Guernsey,5 wickets,Deventer,14-Aug-23,2196
Germany,Guernsey,Germany,9 wickets,Deventer,14-Aug-23,2195
India,West Indies,West Indies,8 wickets,Lauderhill,13-Aug-23,2194
India,West Indies,India,9 wickets,Lauderhill,12-Aug-23,2193
West Indies,India,India,7 wickets,Providence,8-Aug-23,2192
West Indies,India,West Indies,2 wickets,Providence,6-Aug-23,2191
Hungary,Croatia,Hungary,7 wickets,Szodliget,6-Aug-23,2190
Hungary,Croatia,Hungary,145 runs,Szodliget,5-Aug-23,2189
West Indies,India,West Indies,4 runs,Tarouba,3-Aug-23,2188
Malaysia,Thailand,Malaysia,7 wickets,Kuala Lumpur,1-Aug-23,2187
China,Myanmar,China,5 wickets,Kuala Lumpur,31-Jul-23,2186
Bhutan,Thailand,Thailand,8 wickets,Kuala Lumpur,31-Jul-23,2185
Malaysia,Myanmar,Malaysia,184 runs,Kuala Lumpur,30-Jul-23,2184
Bhutan,China,Bhutan,95 runs,Kuala Lumpur,30-Jul-23,2183
P.N.G.,Japan,P.N.G.,6 wickets,Port Moresby,29-Jul-23,2182
Philippines,Vanuatu,Vanuatu,3 wickets,Port Moresby,29-Jul-23,2181
Scotland,Ireland,Scotland,8 runs,Edinburgh,28-Jul-23,2180
Germany,Italy,Italy,4 wickets,Edinburgh,28-Jul-23,2179
Denmark,Jersey,Jersey,28 runs,Edinburgh (Golden),28-Jul-23,2178
P.N.G.,Philippines,P.N.G.,100 runs,Port Moresby,28-Jul-23,2177
Myanmar,Thailand,Thailand,101 runs,Kuala Lumpur,28-Jul-23,2176
Japan,Vanuatu,Vanuatu,5 wickets,Port Moresby,28-Jul-23,2175
Scotland,Denmark,Scotland,33 runs,Edinburgh,27-Jul-23,2174
Malaysia,Bhutan,Malaysia,75 runs,Kuala Lumpur,27-Jul-23,2173
China,Thailand,Thailand,9 wickets,Kuala Lumpur,27-Jul-23,2172
Bhutan,Myanmar,Bhutan,31 runs,Kuala Lumpur,26-Jul-23,2171
Japan,Philippines,Japan,33 runs,Port Moresby,26-Jul-23,2170
Malaysia,China,Malaysia,8 wickets,Kuala Lumpur,26-Jul-23,2169
P.N.G.,Vanuatu,P.N.G.,39 runs,Port Moresby,26-Jul-23,2168
Germany,Jersey,Jersey,51 runs,Edinburgh,25-Jul-23,2167
Denmark,Italy,Italy,26 runs,Edinburgh,25-Jul-23,2166
Scotland,Austria,Scotland,166 runs,Edinburgh (Golden),25-Jul-23,2165
P.N.G.,Japan,P.N.G.,6 wickets,Port Moresby,25-Jul-23,2164
Philippines,Vanuatu,Philippines,6 wickets,Port Moresby,25-Jul-23,2163
Ireland,Jersey,Ireland,9 wickets,Edinburgh (Golden),24-Jul-23,2162
Scotland,Italy,Scotland,155 runs,Edinburgh,24-Jul-23,2161
Austria,Denmark,Denmark,8 wickets,Edinburgh (Golden),24-Jul-23,2160
Denmark,Germany,Germany,6 wickets,Edinburgh,23-Jul-23,2159
Austria,Ireland,Ireland,128 runs,Edinburgh,23-Jul-23,2158
Italy,Jersey,Italy,25 runs,Edinburgh (Golden),23-Jul-23,2157
P.N.G.,Philippines,P.N.G.,117 runs,Port Moresby,23-Jul-23,2156
Japan,Vanuatu,Japan,21 runs,Port Moresby,23-Jul-23,2155
P.N.G.,Vanuatu,P.N.G.,9 wickets,Port Moresby,22-Jul-23,2154
Japan,Philippines,Japan,53 runs,Port Moresby,22-Jul-23,2153
Scotland,Jersey,Scotland,14 runs,Edinburgh,21-Jul-23,2152
Denmark,Ireland,Ireland,9 wickets,Edinburgh,21-Jul-23,2151
Austria,Germany,Germany,9 wickets,Edinburgh (Golden),21-Jul-23,2150
Scotland,Germany,Scotland,72 runs,Edinburgh (Golden),20-Jul-23,2149
Austria,Jersey,Jersey,8 wickets,Edinburgh,20-Jul-23,2148
Ireland,Italy,Ireland,7 runs,Edinburgh (Golden),20-Jul-23,2147
Malta,Switzerland,Switzerland,6 wickets,Marsa,16-Jul-23,2146
Bangladesh,Afghanistan,Bangladesh,6 wickets,Sylhet,16-Jul-23,2145
Luxembourg,Romania,Romania,7 wickets,Marsa,16-Jul-23,2144
Malta,France,Malta,7 wickets,Marsa,16-Jul-23,2143
France,Luxembourg,Luxembourg,4 wickets,Marsa,15-Jul-23,2142
Malta,Switzerland,Switzerland,6 wickets,Marsa,15-Jul-23,2141
Luxembourg,Romania,Luxembourg,7 wickets,Marsa,15-Jul-23,2140
France,Switzerland,Switzerland,6 wickets,Marsa,14-Jul-23,2139
Bangladesh,Afghanistan,Bangladesh,2 wickets,Sylhet,14-Jul-23,2138
Malta,Romania,Malta,41 runs,Marsa,14-Jul-23,2137
Luxembourg,Switzerland,Switzerland,8 wickets,Marsa,14-Jul-23,2136
France,Romania,France,88 runs,Marsa,13-Jul-23,2135
Romania,Switzerland,Switzerland,6 wickets,Marsa,13-Jul-23,2134
Malta,Luxembourg,Malta,6 wickets,Marsa,13-Jul-23,2133
Malta,France,France,30 runs,Marsa,12-Jul-23,2132
France,Luxembourg,France,9 wickets,Marsa,12-Jul-23,2131
Malta,Luxembourg,Luxembourg,4 wickets,Marsa,12-Jul-23,2130
France,Luxembourg,France,51 runs,Marsa,11-Jul-23,2129
Malta,Luxembourg,Malta,42 runs,Marsa,11-Jul-23,2128
Isle of Man,Austria,no result,-,Castletown,10-Jul-23,2127
Malta,France,Malta,4 runs,Marsa,10-Jul-23,2126
Malta,France,France,9 runs,Marsa,10-Jul-23,2125
Isle of Man,Austria,Isle of Man,5 wickets,Castletown,9-Jul-23,2124
Isle of Man,Austria,Isle of Man,6 wickets,Castletown,9-Jul-23,2123
Jersey,Guernsey,Jersey,4 wickets,St Martin,8-Jul-23,2122
Jersey,Guernsey,Jersey,7 wickets,St Martin,7-Jul-23,2121
Austria,Germany,Germany,8 wickets,Deventer,30-Jun-23,2120
Austria,Germany,Germany,6 wickets,Deventer,29-Jun-23,2119
Bulgaria,Serbia,no result,-,Sofia,25-Jun-23,2118
Luxembourg,Switzerland,Switzerland,8 wickets,Walferdange,25-Jun-23,2117
Croatia,Turkey,no result,-,Sofia,25-Jun-23,2116
Bulgaria,Turkey,Bulgaria,8 wickets,Sofia,24-Jun-23,2115
Croatia,Serbia,Serbia,9 wickets,Sofia,24-Jun-23,2114
Luxembourg,Switzerland,Luxembourg,3 wickets,Walferdange,24-Jun-23,2113
Croatia,Turkey,Turkey,8 wickets,Sofia,24-Jun-23,2112
Bulgaria,Serbia,Serbia,5 wickets,Sofia,23-Jun-23,2111
Bulgaria,Croatia,Bulgaria,9 wickets,Sofia,23-Jun-23,2110
Serbia,Turkey,Serbia,70 runs,Sofia,23-Jun-23,2109
Kenya,Uganda,Uganda,1 run,Nairobi (Gym),21-Jun-23,2108
Rwanda,Uganda,Uganda,94 runs,Nairobi (Gym),19-Jun-23,2107
Kenya,Botswana,Kenya,6 wickets,Nairobi (Gym),19-Jun-23,2106
Kenya,Uganda,Uganda,5 wickets,Nairobi (Gym),18-Jun-23,2105
Botswana,Rwanda,Rwanda,7 wickets,Nairobi (Gym),18-Jun-23,2104
Kenya,Rwanda,Kenya,7 wickets,Nairobi (Gym),17-Jun-23,2103
Botswana,Uganda,Uganda,7 wickets,Nairobi (Gym),17-Jun-23,2102
Kenya,Botswana,Botswana,30 runs,Nairobi (Gym),15-Jun-23,2101
Rwanda,Uganda,Uganda,7 wickets,Nairobi (Gym),15-Jun-23,2100
Kenya,Rwanda,Kenya,7 wickets,Nairobi (Gym),14-Jun-23,2099
Botswana,Uganda,Uganda,64 runs,Nairobi (Gym),14-Jun-23,2098
Kenya,Uganda,Uganda,47 runs,Nairobi (Gym),13-Jun-23,2097
Botswana,Rwanda,Rwanda,27 runs,Nairobi (Gym),13-Jun-23,2096
Czech Rep.,Hungary,Czech Rep.,3 wickets,Vinor,11-Jun-23,2095
Rwanda,Uganda,Uganda,8 wickets,Nairobi (Gym),11-Jun-23,2094
Germany,Belgium,Germany,8 wickets,Krefeld,11-Jun-23,2093
Czech Rep.,Hungary,tied,-,Vinor,11-Jun-23,2092
Kenya,Botswana,Kenya,8 wickets,Nairobi (Gym),11-Jun-23,2091
Germany,Belgium,Germany,4 wickets,Krefeld,10-Jun-23,2090
Czech Rep.,Hungary,Czech Rep.,9 runs,Vinor,10-Jun-23,2089
Kenya,Uganda,Kenya,88 runs,Nairobi (Gym),10-Jun-23,2088
Germany,Belgium,Germany,5 wickets,Krefeld,10-Jun-23,2087
Botswana,Rwanda,Botswana,33 runs,Nairobi (Gym),10-Jun-23,2086
Germany,Belgium,Germany,6 runs,Krefeld,9-Jun-23,2085
Botswana,Uganda,Uganda,6 wickets,Nairobi (Gym),9-Jun-23,2084
Kenya,Rwanda,Kenya,3 wickets,Nairobi (Gym),9-Jun-23,2083
Botswana,Mozambique,Botswana,7 wickets,Benoni,1-Jun-23,2082
Eswatini,Mozambique,Mozambique,6 wickets,Benoni,30-May-23,2081
Botswana,Malawi,Botswana,100 runs,Benoni,30-May-23,2080
Botswana,Eswatini,Botswana,107 runs,Benoni,29-May-23,2079
Malawi,Mozambique,Malawi,9 wickets,Benoni,28-May-23,2078
Eswatini,Malawi,Malawi,53 runs,Benoni,27-May-23,2077
Finland,Sweden,tied,-,Glostrup,21-May-23,2076
Finland,Norway,Norway,7 wickets,Glostrup,20-May-23,2075
Finland,Sweden,Finland,7 runs,Brondby,20-May-23,2074
Denmark,Finland,Denmark,8 wickets,Brondby,19-May-23,2073
Norway,Sweden,Sweden,53 runs,Glostrup,19-May-23,2072
Denmark,Sweden,Sweden,10 wickets,Brondby,19-May-23,2071
Finland,Norway,Norway,30 runs,Glostrup,19-May-23,2070
Denmark,Finland,Denmark,72 runs,Brondby,18-May-23,2069
Norway,Sweden,Norway,75 runs,Glostrup,18-May-23,2068
Denmark,Norway,Denmark,9 wickets,Brondby,18-May-23,2067
Cambodia,Malaysia,Cambodia,12 runs,Phnom Penh,11-May-23,2066
Indonesia,Singapore,Singapore,15 runs,Phnom Penh,11-May-23,2065
Cambodia,Philippines,Cambodia,8 runs,Phnom Penh,10-May-23,2064
Gibraltar,Malta,Malta,1 run,Gibraltar,7-May-23,2063
Gibraltar,Portugal,Portugal,1 wicket,Gibraltar,7-May-23,2062
Malta,Portugal,Portugal,7 wickets,Gibraltar,6-May-23,2061
Gibraltar,Portugal,Portugal,9 wickets,Gibraltar,6-May-23,2060
Gibraltar,Malta,Gibraltar,80 runs,Gibraltar,6-May-23,2059
Gibraltar,Malta,Gibraltar,43 runs,Gibraltar,5-May-23,2058
Malta,Portugal,Portugal,17 runs,Gibraltar,5-May-23,2057
Gibraltar,Portugal,Portugal,7 wickets,Gibraltar,4-May-23,2056
Malta,Portugal,Portugal,84 runs,Gibraltar,4-May-23,2055
Cambodia,Singapore,Cambodia,15 runs,Phnom Penh,4-May-23,2054
Malaysia,Thailand,Malaysia,8 wickets,Phnom Penh,4-May-23,2053
Philippines,Singapore,Singapore,87 runs,Phnom Penh,3-May-23,2052
Indonesia,Malaysia,Malaysia,94 runs,Phnom Penh,2-May-23,2051
Indonesia,Thailand,Indonesia,32 runs,Phnom Penh,1-May-23,2050
Pakistan,New Zealand,New Zealand,6 wickets,Rawalpindi,24-Apr-23,2049
Pakistan,New Zealand,no result,-,Rawalpindi,20-Apr-23,2048
Pakistan,New Zealand,New Zealand,4 runs,Lahore,17-Apr-23,2047
Pakistan,New Zealand,Pakistan,38 runs,Lahore,15-Apr-23,2046
Pakistan,New Zealand,Pakistan,88 runs,Lahore,14-Apr-23,2045
Portugal,Gibraltar,Portugal,5 wickets,Albergaria,11-Apr-23,2044
Portugal,Gibraltar,Portugal,5 wickets,Albergaria,11-Apr-23,2043
Portugal,Gibraltar,Portugal,124 runs,Albergaria,10-Apr-23,2042
New Zealand,Sri Lanka,New Zealand,4 wickets,Queenstown,8-Apr-23,2041
New Zealand,Sri Lanka,New Zealand,9 wickets,Dunedin,5-Apr-23,2040
New Zealand,Sri Lanka,tied,-,Auckland,2-Apr-23,2039
Bangladesh,Ireland,Ireland,7 wickets,Chattogram,31-Mar-23,2038
Bangladesh,Ireland,Bangladesh,77 runs,Chattogram,29-Mar-23,2037
South Africa,West Indies,West Indies,7 runs,Johannesburg,28-Mar-23,2036
Afghanistan,Pakistan,Pakistan,66 runs,Sharjah,27-Mar-23,2035
Bangladesh,Ireland,Bangladesh,22 runs,Chattogram,27-Mar-23,2034
Afghanistan,Pakistan,Afghanistan,7 wickets,Sharjah,26-Mar-23,2033
South Africa,West Indies,South Africa,6 wickets,Centurion,26-Mar-23,2032
South Africa,West Indies,West Indies,3 wickets,Centurion,25-Mar-23,2031
Afghanistan,Pakistan,Afghanistan,6 wickets,Sharjah,24-Mar-23,2030
Fiji,Samoa,Fiji,22 runs,Suva,18-Mar-23,2029
Fiji,Vanuatu,Vanuatu,26 runs,Suva,17-Mar-23,2028
Fiji,Vanuatu,Vanuatu,102 runs,Suva,16-Mar-23,2027
Bangladesh,England,Bangladesh,16 runs,Mirpur,14-Mar-23,2026
Fiji,Samoa,Fiji,66 runs,Suva,14-Mar-23,2025
Samoa,Vanuatu,Vanuatu,17 runs,Suva,13-Mar-23,2024
Bangladesh,England,Bangladesh,4 wickets,Mirpur,12-Mar-23,2023
Hong Kong,Malaysia,Hong Kong,39 runs,Mong Kok,12-Mar-23,2022
Bahrain,Kuwait,Kuwait,6 wickets,Mong Kok,12-Mar-23,2021
Hong Kong,Malaysia,Hong Kong,4 wickets,Mong Kok,11-Mar-23,2020
Bahrain,Kuwait,Bahrain,4 wickets,Mong Kok,11-Mar-23,2019
Bangladesh,England,Bangladesh,6 wickets,Chattogram,9-Mar-23,2018
Hong Kong,Kuwait,Hong Kong,11 runs,Mong Kok,9-Mar-23,2017
Bahrain,Malaysia,Malaysia,53 runs,Mong Kok,9-Mar-23,2016
Hong Kong,Bahrain,Hong Kong,15 runs,Mong Kok,8-Mar-23,2015
Kuwait,Malaysia,Malaysia,3 wickets,Mong Kok,8-Mar-23,2014
Argentina,Cayman,Cayman,3 wickets,Buenos Aires,4-Mar-23,2013
Bahamas,Bermuda,Bermuda,9 wickets,Buenos Aires,4-Mar-23,2012
Argentina,Bahamas,Argentina,43 runs,Buenos Aires,2-Mar-23,2011
Cayman,Panama,Cayman,12 runs,Buenos Aires,2-Mar-23,2010
Bermuda,Panama,Bermuda,60 runs,Buenos Aires,28-Feb-23,2009
Bahamas,Cayman,Cayman,31 runs,Buenos Aires,28-Feb-23,2008
Argentina,Bermuda,Bermuda,110 runs,Buenos Aires,26-Feb-23,2007
Bahamas,Panama,Bahamas,4 wickets,Buenos Aires,26-Feb-23,2006
Spain,Isle of Man,Spain,10 wickets,Cartagena,26-Feb-23,2005
Spain,Isle of Man,Spain,7 wickets,Cartagena,26-Feb-23,2004
Bermuda,Cayman,Bermuda,96 runs,Buenos Aires,25-Feb-23,2003
Argentina,Panama,Panama,53 runs,Buenos Aires,25-Feb-23,2002
Spain,Isle of Man,Spain,6 wickets,Cartagena,25-Feb-23,2001
Spain,Isle of Man,Spain,8 wickets,Cartagena,25-Feb-23,2000
Spain,Isle of Man,no result,-,Cartagena,24-Feb-23,1999
Spain,Isle of Man,Spain,81 runs,Cartagena,24-Feb-23,1998
Argentina,Bermuda,Bermuda,107 runs,Buenos Aires,22-Feb-23,1997
Argentina,Bermuda,Bermuda,6 wickets,Buenos Aires,21-Feb-23,1996
U.A.E.,Afghanistan,Afghanistan,6 wickets,Abu Dhabi,19-Feb-23,1995
U.A.E.,Afghanistan,U.A.E.,9 wickets,Abu Dhabi,18-Feb-23,1994
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,16-Feb-23,1993
India,New Zealand,India,168 runs,Ahmedabad,1-Feb-23,1992
India,New Zealand,India,6 wickets,Lucknow,29-Jan-23,1991
India,New Zealand,New Zealand,21 runs,Ranchi,27-Jan-23,1990
Zimbabwe,Ireland,Zimbabwe,4 wickets,Harare,15-Jan-23,1989
Zimbabwe,Ireland,Ireland,6 wickets,Harare,14-Jan-23,1988
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,12-Jan-23,1987
India,Sri Lanka,India,91 runs,Rajkot,7-Jan-23,1986
India,Sri Lanka,Sri Lanka,16 runs,Pune,5-Jan-23,1985
India,Sri Lanka,India,2 runs,Wankhede,3-Jan-23,1984
Tanzania,Uganda,no result,-,Rwanda,23-Dec-22,1983
Rwanda,Uganda,Uganda,3 runs,Rwanda,23-Dec-22,1982
Malaysia,Bahrain,Bahrain,6 wickets,Bangi,23-Dec-22,1981
Qatar,Singapore,Qatar,9 wickets,Bangi,23-Dec-22,1980
Tanzania,Uganda,Uganda,7 runs,Rwanda,22-Dec-22,1979
Rwanda,Tanzania,Tanzania,28 runs,Rwanda,22-Dec-22,1978
Bahrain,Qatar,no result,-,Bangi,22-Dec-22,1977
Malaysia,Singapore,Malaysia,143 runs,Bangi,22-Dec-22,1976
Malaysia,Qatar,no result,-,Bangi,21-Dec-22,1975
Bahrain,Singapore,Bahrain,6 wickets,Bangi,21-Dec-22,1974
Rwanda,Uganda,Uganda,7 wickets,Rwanda,20-Dec-22,1973
Rwanda,Tanzania,Tanzania,31 runs,Rwanda,20-Dec-22,1972
Rwanda,Uganda,Uganda,9 wickets,Rwanda,19-Dec-22,1971
Tanzania,Uganda,Tanzania,5 wickets,Rwanda,19-Dec-22,1970
Malaysia,Bahrain,Malaysia,7 wickets,Bangi,19-Dec-22,1969
Qatar,Singapore,Qatar,8 wickets,Bangi,19-Dec-22,1968
Rwanda,Tanzania,Tanzania,6 wickets,Rwanda,18-Dec-22,1967
Tanzania,Uganda,Uganda,2 runs,Rwanda,18-Dec-22,1966
Malaysia,Singapore,Malaysia,120 runs,Bangi,18-Dec-22,1965
Bahrain,Qatar,Bahrain,13 runs,Bangi,18-Dec-22,1964
Rwanda,Tanzania,Rwanda,1 run,Rwanda,16-Dec-22,1963
Rwanda,Uganda,Uganda,97 runs,Rwanda,16-Dec-22,1962
Bahrain,Singapore,tied,-,Bangi,16-Dec-22,1961
Malaysia,Qatar,Malaysia,8 wickets,Bangi,16-Dec-22,1960
Tanzania,Uganda,Uganda,13 runs,Rwanda,15-Dec-22,1959
Rwanda,Uganda,Uganda,133 runs,Rwanda,15-Dec-22,1958
Qatar,Singapore,Qatar,5 wickets,Bangi,15-Dec-22,1957
Malaysia,Bahrain,Malaysia,11 runs,Bangi,15-Dec-22,1956
Tanzania,Uganda,no result,-,Rwanda,14-Dec-22,1955
Rwanda,Uganda,Uganda,85 runs,Rwanda,14-Dec-22,1954
Rwanda,Tanzania,Tanzania,5 wickets,Rwanda,13-Dec-22,1953
Rwanda,Tanzania,Tanzania,66 runs,Rwanda,13-Dec-22,1952
Cameroon,Tanzania,Tanzania,184 runs,Kigali,9-Dec-22,1951
Ghana,Nigeria,Nigeria,6 wickets,Rwanda,9-Dec-22,1950
Cameroon,Gambia,Gambia,11 runs,Kigali,9-Dec-22,1949
Mozambique,Sierra Leone,Mozambique,5 wickets,Rwanda,9-Dec-22,1948
Gambia,Mozambique,Mozambique,40 runs,Kigali,8-Dec-22,1947
Nigeria,Tanzania,no result,-,Rwanda,8-Dec-22,1946
Cameroon,Eswatini,no result,-,Kigali,8-Dec-22,1945
Gambia,Ghana,Ghana,138 runs,Rwanda,8-Dec-22,1944
Cameroon,Ghana,Ghana,107 runs,Kigali,6-Dec-22,1943
Gambia,Tanzania,Tanzania,10 wickets,Rwanda,6-Dec-22,1942
Gambia,Sierra Leone,Sierra Leone,8 wickets,Kigali,6-Dec-22,1941
Eswatini,Tanzania,Tanzania,66 runs,Rwanda,6-Dec-22,1940
Cameroon,Nigeria,Nigeria,17 runs,Rwanda,5-Dec-22,1939
Ghana,Sierra Leone,Sierra Leone,18 runs,Kigali,5-Dec-22,1938
Eswatini,Sierra Leone,Sierra Leone,4 runs,Kigali,5-Dec-22,1937
Mozambique,Tanzania,Tanzania,6 wickets,Rwanda,5-Dec-22,1936
Gambia,Nigeria,Nigeria,9 wickets,Kigali,4-Dec-22,1935
Ghana,Tanzania,Tanzania,4 wickets,Rwanda,4-Dec-22,1934
Cameroon,Mozambique,Mozambique,9 wickets,Rwanda,4-Dec-22,1933
Eswatini,Nigeria,Nigeria,118 runs,Kigali,4-Dec-22,1932
Cameroon,Sierra Leone,Sierra Leone,1 wicket,Rwanda,2-Dec-22,1931
Eswatini,Mozambique,Mozambique,9 wickets,Kigali,2-Dec-22,1930
Ghana,Mozambique,Mozambique,7 wickets,Kigali,2-Dec-22,1929
Nigeria,Sierra Leone,Nigeria,6 wickets,Rwanda,2-Dec-22,1928
Eswatini,Gambia,Eswatini,5 wickets,Kigali,1-Dec-22,1927
Mozambique,Nigeria,Nigeria,8 wickets,Rwanda,1-Dec-22,1926
Eswatini,Ghana,Ghana,25 runs,Kigali,1-Dec-22,1925
Sierra Leone,Tanzania,Tanzania,9 wickets,Rwanda,1-Dec-22,1924
Kenya,Seychelles,Kenya,7 wickets,Rwanda,25-Nov-22,1923
Rwanda,Lesotho,no result,-,Kigali,25-Nov-22,1922
Botswana,St Helena,Botswana,60 runs,Rwanda,25-Nov-22,1921
Lesotho,Malawi,Malawi,118 runs,Kigali,25-Nov-22,1920
Botswana,Kenya,Kenya,8 wickets,Rwanda,24-Nov-22,1919
Rwanda,Mali,Rwanda,10 wickets,Kigali,24-Nov-22,1918
Malawi,St Helena,Malawi,10 wickets,Rwanda,24-Nov-22,1917
Rwanda,Seychelles,Rwanda,75 runs,Kigali,24-Nov-22,1916
Malawi,Seychelles,no result,-,Rwanda,22-Nov-22,1915
Mali,St Helena,no result,-,Kigali,22-Nov-22,1914
Botswana,Mali,Botswana,5 wickets,Rwanda,22-Nov-22,1913
Lesotho,St Helena,St Helena,45 runs,Kigali,22-Nov-22,1912
New Zealand,India,tied,-,Napier,22-Nov-22,1911
Oman,Canada,Canada,8 wickets,Al Amerat,21-Nov-22,1910
Bahrain,Saudi Arabia,Saudi Arabia,32 runs,Al Amerat,21-Nov-22,1909
Rwanda,Malawi,Rwanda,41 runs,Rwanda,21-Nov-22,1908
Seychelles,St Helena,St Helena,2 runs,Kigali,21-Nov-22,1907
Kenya,Lesotho,Kenya,167 runs,Kigali,21-Nov-22,1906
Malawi,Mali,Malawi,74 runs,Rwanda,21-Nov-22,1905
Bahrain,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,20-Nov-22,1904
Oman,Canada,Canada,3 wickets,Al Amerat,20-Nov-22,1903
Lesotho,Seychelles,Lesotho,7 wickets,Kigali,20-Nov-22,1902
Rwanda,Kenya,Kenya,9 wickets,Rwanda,20-Nov-22,1901
Botswana,Malawi,Malawi,4 wickets,Rwanda,20-Nov-22,1900
